t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480497196,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,2512.317611,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497197,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,714.053562,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497198,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,416.676835,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497199,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,294.251257,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497200,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,227.377240,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497201,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,185.190123,200.000000,200.000000,200.000000,calls/second,milliseconds
1480497202,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,156.278465,200.000000,200.000000,200.000000,calls/second,milliseconds
1480497203,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,135.146878,200.000000,200.000000,200.000000,calls/second,milliseconds
1480497204,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,119.043489,200.000000,200.000000,200.000000,calls/second,milliseconds
1480497205,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,106.258765,200.000000,200.000000,200.000000,calls/second,milliseconds
1480497206,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,96.150690,184.008883,196.694291,198.891970,calls/second,milliseconds
1480497207,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,87.720335,184.008883,196.694291,198.891970,calls/second,milliseconds
1480497208,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,80.477000,184.008883,196.694291,198.891970,calls/second,milliseconds
1480497209,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,74.634631,184.008883,196.694291,198.891970,calls/second,milliseconds
1480497210,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,69.445363,184.008883,196.694291,198.891970,calls/second,milliseconds
1480497211,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,64.940906,169.296345,193.443220,197.790078,calls/second,milliseconds
1480497212,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,60.974907,169.296345,193.443220,197.790078,calls/second,milliseconds
1480497213,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,57.478131,169.296345,193.443220,197.790078,calls/second,milliseconds
1480497214,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,54.349463,169.296345,193.443220,197.790078,calls/second,milliseconds
1480497215,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,51.547639,169.296345,193.443220,197.790078,calls/second,milliseconds
1480497216,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,49.022811,155.760157,190.245885,196.694291,calls/second,milliseconds
1480497217,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,46.730557,155.760157,190.245885,196.694291,calls/second,milliseconds
1480497218,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,44.643214,155.760157,190.245885,196.694291,calls/second,milliseconds
1480497219,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,42.734366,155.760157,190.245885,196.694291,calls/second,milliseconds
1480497220,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,40.982835,155.760157,190.245885,196.694291,calls/second,milliseconds
1480497221,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,39.369158,143.306262,187.101397,195.604574,calls/second,milliseconds
1480497222,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,37.880906,143.306262,187.101397,195.604574,calls/second,milliseconds
1480497223,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,36.496182,143.306262,187.101397,195.604574,calls/second,milliseconds
1480497224,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,35.213427,143.306262,187.101397,195.604574,calls/second,milliseconds
1480497225,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,34.016101,143.306262,187.101397,195.604574,calls/second,milliseconds
1480497226,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,32.896336,131.848126,184.008883,194.520895,calls/second,milliseconds
1480497227,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,31.849212,131.848126,184.008883,194.520895,calls/second,milliseconds
1480497228,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,30.865796,131.848126,184.008883,194.520895,calls/second,milliseconds
1480497229,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,29.941942,131.848126,184.008883,194.520895,calls/second,milliseconds
1480497230,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,29.071212,131.848126,184.008883,194.520895,calls/second,milliseconds
1480497231,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,28.247547,121.306132,180.967484,193.443220,calls/second,milliseconds
1480497232,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,27.473959,121.306132,180.967484,193.443220,calls/second,milliseconds
1480497233,1000,10.958745,2.018562,1.026850,0.623371,1.894801,2.046662,2.956649,3.720551,4.527238,7.892954,26.737521,121.306132,180.967484,193.443220,calls/second,milliseconds
