t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480497199,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,4.232549,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497200,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.808963,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497201,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.446945,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497202,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.308966,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497203,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.236015,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497204,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.189736,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497205,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.160023,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497206,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.138140,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497207,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.121397,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497208,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.107945,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497209,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.097692,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497210,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.088987,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497211,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.081719,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497212,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.075537,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497213,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.070246,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497214,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.065627,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497215,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.061585,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497216,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.058017,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497217,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.054834,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497218,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.051981,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497219,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.049412,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497220,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.047084,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497221,1,0.377966,0.377966,0.377966,0.000000,0.377966,0.377966,0.377966,0.377966,0.377966,0.377966,0.044968,0.155760,0.190246,0.196694,calls/second,milliseconds
