t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480497196,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,2.328194,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497197,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.699149,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497198,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.411418,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497199,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.291668,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497200,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.225781,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497201,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.184186,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497202,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.155552,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497203,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.134605,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497204,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.118153,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497205,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.105909,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497206,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.095863,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497207,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.087492,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497208,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.080276,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497209,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.074469,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497210,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.069302,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497211,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.064811,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497212,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.060865,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497213,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.057380,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497214,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.054258,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497215,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.051465,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497216,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.048950,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497217,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.046666,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497218,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.044583,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497219,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.042677,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497220,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.040930,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497221,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.039323,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497222,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.037839,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497223,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.036456,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497224,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.035176,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497225,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.033981,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497226,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.032864,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497227,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.031818,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497228,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.030837,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497229,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.029915,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497230,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.029045,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497231,1,0.138616,0.138616,0.138616,0.000000,0.138616,0.138616,0.138616,0.138616,0.138616,0.138616,0.028224,0.121306,0.180967,0.193443,calls/second,milliseconds
