t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480497196,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,2.497372,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497197,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.713956,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497198,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.416555,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497199,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.294237,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497200,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.227314,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497201,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.185185,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497202,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.156273,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497203,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.135144,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497204,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.118571,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497205,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.106249,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497206,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.096138,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497207,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.087718,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497208,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.080471,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497209,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.074634,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497210,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.069445,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497211,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.064936,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497212,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.060974,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497213,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.057478,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497214,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.054347,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497215,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.051544,0.169296,0.193443,0.197790,calls/second,milliseconds
1480497216,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.049022,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497217,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.046730,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497218,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.044642,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497219,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.042733,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497220,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.040981,0.155760,0.190246,0.196694,calls/second,milliseconds
1480497221,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.039369,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497222,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.037881,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497223,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.036496,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497224,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.035213,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497225,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.034015,0.143306,0.187101,0.195605,calls/second,milliseconds
1480497226,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.032896,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497227,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.031849,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497228,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.030865,0.131848,0.184009,0.194521,calls/second,milliseconds
1480497229,1,0.132648,0.132648,0.132648,0.000000,0.132648,0.132648,0.132648,0.132648,0.132648,0.132648,0.029941,0.131848,0.184009,0.194521,calls/second,milliseconds
