t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480496976,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,4.703165,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496977,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.830714,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496978,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.453422,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496979,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.311740,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496980,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.237660,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496981,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.192166,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496982,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.161119,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496983,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.138738,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496984,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.121839,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496985,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.108636,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496986,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.097986,0.184009,0.196694,0.198892,calls/second,milliseconds
1480496987,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.089242,0.184009,0.196694,0.198892,calls/second,milliseconds
1480496988,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.081921,0.184009,0.196694,0.198892,calls/second,milliseconds
1480496989,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.075728,0.184009,0.196694,0.198892,calls/second,milliseconds
1480496990,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.070397,0.184009,0.196694,0.198892,calls/second,milliseconds
1480496991,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.065755,0.169296,0.193443,0.197790,calls/second,milliseconds
1480496992,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.061700,0.169296,0.193443,0.197790,calls/second,milliseconds
1480496993,1,0.176495,0.176495,0.176495,0.000000,0.176495,0.176495,0.176495,0.176495,0.176495,0.176495,0.058119,0.169296,0.193443,0.197790,calls/second,milliseconds
