t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480497199,883,10.988635,2.112347,1.048471,0.727338,1.945981,2.093967,3.195668,4.607666,5.488754,10.988635,3743.240240,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497200,4408,37.522698,2.240661,1.058379,2.233191,1.966031,2.123752,3.091883,4.016898,5.126505,36.750586,3567.537775,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497201,7548,44.540473,2.317556,1.058379,2.346424,1.976664,2.143303,3.217404,4.921891,7.784695,35.367667,3373.747820,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497202,9488,50.620774,2.674546,1.058379,3.641621,1.989927,2.246792,4.117967,9.044340,17.860320,44.540473,2931.624192,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497203,11906,50.620774,2.755973,1.058379,3.908381,2.003056,2.287422,4.671462,9.044340,24.427675,44.540473,2810.087921,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497204,14718,50.620774,2.783197,1.058379,3.818067,2.011353,2.284321,4.950960,10.988635,18.352891,44.540473,2810.032006,2773.200000,2773.200000,2773.200000,calls/second,milliseconds
1480497205,17996,50.620774,2.718233,1.058379,3.643958,2.032115,2.287422,4.601936,9.330057,17.126559,44.540473,2880.173473,2773.200000,2773.200000,2773.200000,calls/second,milliseconds
1480497206,21153,50.620774,2.669111,1.058379,3.470018,2.033230,2.292715,4.154989,8.279563,14.870765,44.540473,2922.458632,2773.200000,2773.200000,2773.200000,calls/second,milliseconds
1480497207,23654,82.188460,2.799565,1.058379,4.373752,2.044911,2.323529,4.390867,9.330057,18.352891,82.188460,2871.581197,2773.200000,2773.200000,2773.200000,calls/second,milliseconds
1480497208,26192,50.620774,2.788588,1.058379,3.726924,2.048208,2.374123,4.397695,9.341301,20.092458,44.540473,2827.526376,2773.200000,2773.200000,2773.200000,calls/second,milliseconds
1480497209,29582,56.895522,2.911772,1.058379,4.505827,2.047433,2.356797,4.628509,10.988635,32.094923,56.895522,2889.962537,2791.030096,2776.885866,2774.435454,calls/second,milliseconds
1480497210,33098,56.895522,2.817893,1.058379,4.188233,2.036003,2.298042,4.351227,9.341301,24.427675,56.895522,2945.318628,2791.030096,2776.885866,2774.435454,calls/second,milliseconds
1480497211,36638,56.895522,2.738595,1.058379,3.897217,2.023799,2.267282,4.330697,9.288417,23.272102,56.895522,2994.124079,2791.030096,2776.885866,2774.435454,calls/second,milliseconds
1480497212,39371,56.895522,2.767124,1.058379,3.937804,2.027243,2.306890,4.353419,9.330057,23.272102,56.895522,2974.045129,2791.030096,2776.885866,2774.435454,calls/second,milliseconds
1480497213,42269,56.895522,2.825340,1.058379,4.175831,2.033775,2.308387,4.412420,9.341301,31.366184,56.895522,2969.257148,2791.030096,2776.885866,2774.435454,calls/second,milliseconds
1480497214,44932,56.895522,2.796271,1.058379,4.025535,2.033882,2.298042,4.412420,9.341301,24.427675,44.540473,2948.861821,2812.663671,2781.591777,2776.026389,calls/second,milliseconds
1480497215,48433,56.895522,2.676245,1.058379,3.498218,2.028254,2.275412,4.353419,8.202058,18.352891,44.540473,2982.817725,2812.663671,2781.591777,2776.026389,calls/second,milliseconds
1480497216,51911,56.895522,2.644851,1.058379,3.420554,2.030637,2.273401,4.345793,8.075723,14.870765,44.540473,3011.768482,2812.663671,2781.591777,2776.026389,calls/second,milliseconds
1480497217,55339,56.895522,2.647944,1.058379,3.546309,2.029112,2.259338,4.345793,8.075723,14.870765,46.098390,3034.489853,2812.663671,2781.591777,2776.026389,calls/second,milliseconds
1480497218,57832,56.895522,2.680910,1.058379,3.696641,2.027243,2.259338,4.353419,8.202058,18.352891,46.098390,3006.234395,2812.663671,2781.591777,2776.026389,calls/second,milliseconds
1480497219,61206,56.895522,2.668795,1.058379,3.673070,2.021926,2.245129,4.358206,8.075723,18.352891,46.098390,3024.320621,2848.222824,2789.456195,2778.693272,calls/second,milliseconds
1480497220,64546,56.895522,2.715484,1.058379,3.965724,2.013992,2.241792,4.390867,8.075723,23.272102,46.699854,3039.147908,2848.222824,2789.456195,2778.693272,calls/second,milliseconds
1480497221,67378,56.895522,2.713968,1.058379,3.951876,2.014816,2.241792,4.391758,8.075723,23.272102,46.699854,3029.874081,2848.222824,2789.456195,2778.693272,calls/second,milliseconds
1480497222,70102,56.895522,2.788030,1.058379,4.097626,2.025590,2.257202,4.641462,9.330057,24.427675,46.699854,3016.958528,2848.222824,2789.456195,2778.693272,calls/second,milliseconds
1480497223,72970,81.715469,2.882060,1.058379,4.870092,2.038013,2.265183,4.671462,9.341301,31.366184,81.715469,3010.602934,2848.222824,2789.456195,2778.693272,calls/second,milliseconds
1480497224,75602,56.895522,2.844839,1.058379,4.186635,2.047951,2.293138,4.825229,9.494189,31.366184,46.699854,2995.831798,2850.331827,2790.863498,2779.224610,calls/second,milliseconds
1480497225,78272,56.895522,2.865637,1.058379,4.200785,2.046181,2.295576,5.021418,9.915368,31.366184,46.699854,2983.454126,2850.331827,2790.863498,2779.224610,calls/second,milliseconds
1480497226,80946,56.895522,2.920573,1.058379,4.397922,2.047542,2.306890,5.110189,10.555260,33.051350,46.699854,2972.035440,2850.331827,2790.863498,2779.224610,calls/second,milliseconds
1480497227,83885,56.895522,2.926662,1.058379,4.407113,2.047542,2.304370,5.110189,11.578168,32.094923,46.699854,2970.934087,2850.331827,2790.863498,2779.224610,calls/second,milliseconds
1480497228,86471,56.895522,2.948955,1.058379,4.405567,2.057113,2.317278,5.395746,11.578168,32.094923,46.699854,2957.712555,2850.331827,2790.863498,2779.224610,calls/second,milliseconds
1480497229,89277,56.895522,2.943099,1.058379,4.385758,2.062163,2.332188,5.243645,11.578168,32.094923,46.699854,2952.734588,2842.277755,2790.181472,2779.060485,calls/second,milliseconds
1480497230,91748,56.895522,2.890806,1.166941,4.165876,2.065352,2.323529,5.038753,10.555260,31.366184,46.699854,2937.223596,2842.277755,2790.181472,2779.060485,calls/second,milliseconds
1480497231,94769,72.049293,3.008008,1.166941,4.968719,2.059849,2.330992,5.038753,12.022231,33.051350,72.049293,2939.600388,2842.277755,2790.181472,2779.060485,calls/second,milliseconds
1480497232,97163,72.049293,3.045459,1.166941,5.073840,2.065352,2.339421,5.110189,12.128104,35.560497,72.049293,2923.420279,2842.277755,2790.181472,2779.060485,calls/second,milliseconds
1480497233,99833,72.049293,2.975746,1.112190,4.840596,2.065352,2.330283,4.825229,11.711460,33.059349,72.049293,2915.845348,2842.277755,2790.181472,2779.060485,calls/second,milliseconds
