t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480496979,196,55.809668,16.847522,8.730744,5.887908,15.007882,19.608663,27.193991,30.602697,37.334235,55.809668,464.086148,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496980,716,55.809668,15.776415,6.863184,4.407432,14.561423,16.965466,23.450295,27.193991,29.969923,55.809668,503.090052,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496981,1218,73.612938,15.827691,6.863184,5.142904,14.562956,16.691275,23.139293,27.906355,35.960915,71.199302,503.549864,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496982,1749,71.199302,15.655352,7.679442,4.728305,14.403707,16.407734,22.836255,27.718535,30.894762,62.656167,510.948668,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496983,2257,62.656167,15.638196,7.679442,4.450646,14.413466,16.541719,23.066674,28.012202,32.476190,55.809668,510.214255,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496984,2777,62.656167,15.602212,7.679442,4.163384,14.464876,16.402933,23.066674,26.963509,30.602697,54.718972,512.073643,511.400000,511.400000,511.400000,calls/second,milliseconds
1480496985,3299,62.656167,15.641406,7.679442,4.155756,14.586398,16.575812,22.836255,26.963509,30.602697,54.718972,513.763115,511.400000,511.400000,511.400000,calls/second,milliseconds
1480496986,3821,62.656167,15.541589,8.730744,3.959570,14.587178,16.362163,22.165823,26.201549,29.412711,54.718972,514.893373,511.400000,511.400000,511.400000,calls/second,milliseconds
1480496987,4345,62.656167,15.496299,8.730744,3.978596,14.564407,16.264671,21.815567,26.662320,29.743824,54.718972,515.897935,511.400000,511.400000,511.400000,calls/second,milliseconds
1480496988,4843,69.063981,15.639758,8.730744,4.449656,14.619054,16.556112,21.999342,27.718535,33.905336,69.063981,513.959543,511.400000,511.400000,511.400000,calls/second,milliseconds
1480496989,5348,69.063981,15.654078,8.730744,4.434874,14.634550,16.403583,22.188143,28.012202,33.543690,69.063981,513.182387,511.863742,511.495866,511.432133,calls/second,milliseconds
1480496990,5868,69.063981,15.577300,8.730744,4.156402,14.596661,16.362163,22.177636,27.718535,29.743824,69.063981,513.882458,511.863742,511.495866,511.432133,calls/second,milliseconds
1480496991,6380,62.656167,15.497929,8.180896,3.741083,14.596661,16.310409,22.177636,26.657643,29.412711,44.054223,513.520189,511.863742,511.495866,511.432133,calls/second,milliseconds
1480496992,6876,62.656167,15.492522,8.180896,3.941096,14.596256,16.196921,21.855922,26.944695,29.743824,54.851369,512.221563,511.863742,511.495866,511.432133,calls/second,milliseconds
1480496993,7380,62.656167,15.639874,8.180896,4.032506,14.687328,16.485478,22.177636,26.963509,30.602697,54.851369,511.701314,511.863742,511.495866,511.432133,calls/second,milliseconds
1480496994,7889,62.656167,15.627623,8.180896,3.991067,14.689860,16.482797,21.999342,26.944695,30.602697,54.851369,511.569984,511.426886,511.411638,511.404254,calls/second,milliseconds
1480496995,8389,62.656167,15.691048,8.180896,4.010581,14.770266,16.550824,21.857328,26.963509,31.360210,54.851369,510.866007,511.426886,511.411638,511.404254,calls/second,milliseconds
1480496996,8890,62.656167,15.786707,8.180896,4.075324,14.816622,16.647867,22.806281,27.355010,32.080422,54.851369,510.234605,511.426886,511.411638,511.404254,calls/second,milliseconds
1480496997,9396,62.656167,15.738253,8.180896,3.962349,14.791791,16.626755,21.815567,26.662320,31.360210,54.851369,510.077944,511.426886,511.411638,511.404254,calls/second,milliseconds
1480496998,9896,62.656167,15.741234,8.180896,3.904332,14.819629,16.647867,21.658400,26.434246,30.602697,54.851369,509.544977,511.426886,511.411638,511.404254,calls/second,milliseconds
1480496999,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,489.621831,507.714797,510.644521,511.147167,calls/second,milliseconds
1480497000,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,466.834000,507.714797,510.644521,511.147167,calls/second,milliseconds
1480497001,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,445.949709,507.714797,510.644521,511.147167,calls/second,milliseconds
1480497002,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,426.921624,507.714797,510.644521,511.147167,calls/second,milliseconds
1480497003,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,409.448172,507.714797,510.644521,511.147167,calls/second,milliseconds
1480497004,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,393.378889,467.120163,502.204310,508.315334,calls/second,milliseconds
1480497005,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,378.482154,467.120163,502.204310,508.315334,calls/second,milliseconds
1480497006,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,364.688149,467.120163,502.204310,508.315334,calls/second,milliseconds
1480497007,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,351.842047,467.120163,502.204310,508.315334,calls/second,milliseconds
1480497008,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,339.904601,467.120163,502.204310,508.315334,calls/second,milliseconds
1480497009,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,328.730302,429.771297,493.903603,505.499190,calls/second,milliseconds
1480497010,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,318.245499,429.771297,493.903603,505.499190,calls/second,milliseconds
1480497011,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,308.447568,429.771297,493.903603,505.499190,calls/second,milliseconds
1480497012,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,299.187935,429.771297,493.903603,505.499190,calls/second,milliseconds
1480497013,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,290.522939,429.771297,493.903603,505.499190,calls/second,milliseconds
1480497014,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,282.300981,395.408681,485.740094,502.698648,calls/second,milliseconds
1480497015,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,274.564475,395.408681,485.740094,502.698648,calls/second,milliseconds
1480497016,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,267.233037,395.408681,485.740094,502.698648,calls/second,milliseconds
1480497017,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,260.269023,395.408681,485.740094,502.698648,calls/second,milliseconds
1480497018,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,253.665523,395.408681,485.740094,502.698648,calls/second,milliseconds
1480497019,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,247.389322,363.793549,477.711517,499.913621,calls/second,milliseconds
1480497020,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,241.396691,363.793549,477.711517,499.913621,calls/second,milliseconds
1480497021,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,235.737622,363.793549,477.711517,499.913621,calls/second,milliseconds
1480497022,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,230.302676,363.793549,477.711517,499.913621,calls/second,milliseconds
1480497023,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,225.122533,363.793549,477.711517,499.913621,calls/second,milliseconds
1480497024,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,220.168069,334.706223,469.815640,497.144024,calls/second,milliseconds
1480497025,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,215.414721,334.706223,469.815640,497.144024,calls/second,milliseconds
1480497026,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,210.873212,334.706223,469.815640,497.144024,calls/second,milliseconds
1480497027,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,206.527687,334.706223,469.815640,497.144024,calls/second,milliseconds
1480497028,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,202.347970,334.706223,469.815640,497.144024,calls/second,milliseconds
1480497029,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,198.329957,307.944591,462.050270,494.389770,calls/second,milliseconds
1480497030,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,194.471167,307.944591,462.050270,494.389770,calls/second,milliseconds
1480497031,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,190.756734,307.944591,462.050270,494.389770,calls/second,milliseconds
1480497032,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,187.189536,307.944591,462.050270,494.389770,calls/second,milliseconds
1480497033,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,183.747526,307.944591,462.050270,494.389770,calls/second,milliseconds
1480497034,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,180.436251,283.322701,454.413251,491.650776,calls/second,milliseconds
1480497035,10000,62.656167,15.721154,8.180896,3.907283,14.813783,16.633755,21.658400,26.434246,30.602697,54.851369,177.242331,283.322701,454.413251,491.650776,calls/second,milliseconds
