t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480496999,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,1.337580,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497000,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.572939,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497001,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.363890,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497002,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.266854,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497003,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.210655,0.000000,0.000000,0.000000,calls/second,milliseconds
1480497004,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.174073,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497005,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.148241,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497006,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.129113,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497007,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.114335,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497008,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.102620,0.200000,0.200000,0.200000,calls/second,milliseconds
1480497009,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.093069,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497010,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.085133,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497011,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.078460,0.184009,0.196694,0.198892,calls/second,milliseconds
1480497012,1,1.633641,1.633641,1.633641,0.000000,1.633641,1.633641,1.633641,1.633641,1.633641,1.633641,0.072739,0.184009,0.196694,0.198892,calls/second,milliseconds
