t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1480496979,1,0.326251,0.326251,0.326251,0.000000,0.326251,0.326251,0.326251,0.326251,0.326251,0.326251,2.355998,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496980,1,0.326251,0.326251,0.326251,0.000000,0.326251,0.326251,0.326251,0.326251,0.326251,0.326251,0.702333,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496981,1,0.326251,0.326251,0.326251,0.000000,0.326251,0.326251,0.326251,0.326251,0.326251,0.326251,0.413028,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496982,1,0.326251,0.326251,0.326251,0.000000,0.326251,0.326251,0.326251,0.326251,0.326251,0.326251,0.292102,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496983,1,0.326251,0.326251,0.326251,0.000000,0.326251,0.326251,0.326251,0.326251,0.326251,0.326251,0.226025,0.000000,0.000000,0.000000,calls/second,milliseconds
1480496984,1,0.326251,0.326251,0.326251,0.000000,0.326251,0.326251,0.326251,0.326251,0.326251,0.326251,0.184365,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496985,1,0.326251,0.326251,0.326251,0.000000,0.326251,0.326251,0.326251,0.326251,0.326251,0.326251,0.155726,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496986,1,0.326251,0.326251,0.326251,0.000000,0.326251,0.326251,0.326251,0.326251,0.326251,0.326251,0.134734,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496987,1,0.326251,0.326251,0.326251,0.000000,0.326251,0.326251,0.326251,0.326251,0.326251,0.326251,0.118722,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496988,1,0.326251,0.326251,0.326251,0.000000,0.326251,0.326251,0.326251,0.326251,0.326251,0.326251,0.106103,0.200000,0.200000,0.200000,calls/second,milliseconds
1480496989,1,0.326251,0.326251,0.326251,0.000000,0.326251,0.326251,0.326251,0.326251,0.326251,0.326251,0.095955,0.184009,0.196694,0.198892,calls/second,milliseconds
1480496990,1,0.326251,0.326251,0.326251,0.000000,0.326251,0.326251,0.326251,0.326251,0.326251,0.326251,0.087553,0.184009,0.196694,0.198892,calls/second,milliseconds
